COUNTRY_ID,country,year,p.mean,p.lower,p.upper
CHN,China,2000,0.377697012,0.023087451,0.909490055
CHN,China,2001,0.447314284,0.032464929,0.939202189
CHN,China,2002,0.44263102,0.02909296,0.948279238
CHN,China,2003,0.633373271,0.107517111,0.985104952
CHN,China,2004,0.687096304,0.150996682,0.991267021
CHN,China,2005,0.71140597,0.163322889,0.992922388
CHN,China,2006,0.618020341,0.092271114,0.984548759
CHN,China,2007,0.703067369,0.146418213,0.992229842
CHN,China,2008,0.702101143,0.146795482,0.990999398
CHN,China,2009,0.746494335,0.20770544,0.994330559
CHN,China,2010,0.808106303,0.290807407,0.996870302
CHN,China,2011,0.843151723,0.350062932,0.998237648
CHN,China,2012,0.885089504,0.454793466,0.999053938
CHN,China,2013,0.91359472,0.557624972,0.999342885
CHN,China,2014,0.916390762,0.536676703,0.999512949
CHN,China,2015,0.922913546,0.571840827,0.999622062
CHN,China,2016,0.925655618,0.573608941,0.999597955
CHN,China,2017,0.931473495,0.60714813,0.999694451
CHN,China,2018,0.941859409,0.641437276,0.999866365
CHN,China,2019,0.946627865,0.676382415,0.999861726
IDN,Indonesia,1990,0.000780529,3.89E-08,0.006087596
IDN,Indonesia,1991,0.000610034,5.42E-08,0.005135372
IDN,Indonesia,1992,0.00072471,7.24E-08,0.005723366
IDN,Indonesia,1993,0.000813114,1.04E-07,0.006876186
IDN,Indonesia,1994,0.000840498,1.69E-07,0.006818542
IDN,Indonesia,1995,0.001169999,3.08E-07,0.007228863
IDN,Indonesia,1996,0.001725483,8.32E-07,0.0121387
IDN,Indonesia,1997,0.001812061,7.57E-07,0.011148567
IDN,Indonesia,1998,0.002886541,1.99E-06,0.021472991
IDN,Indonesia,1999,0.002594583,1.39E-06,0.020919051
IDN,Indonesia,2000,0.002535526,1.43E-06,0.018890892
IDN,Indonesia,2001,0.002606481,1.24E-06,0.021743107
IDN,Indonesia,2002,0.002974695,1.41E-06,0.021155383
IDN,Indonesia,2003,0.003612458,1.12E-06,0.030554187
IDN,Indonesia,2004,0.003238917,1.37E-06,0.027721748
IDN,Indonesia,2005,0.002958315,1.17E-06,0.02148535
IDN,Indonesia,2006,0.00252568,8.96E-07,0.020408023
IDN,Indonesia,2007,0.002652952,7.46E-07,0.020140194
IDN,Indonesia,2008,0.003739094,1.30E-06,0.029020073
IDN,Indonesia,2009,0.004883704,2.01E-06,0.034291839
IDN,Indonesia,2010,0.005344973,2.71E-06,0.044084725
IDN,Indonesia,2011,0.005630431,3.32E-06,0.048208593
IDN,Indonesia,2012,0.006604229,3.13E-06,0.055375228
IDN,Indonesia,2013,0.009314238,6.83E-06,0.071477376
IDN,Indonesia,2014,0.011046075,1.11E-05,0.093810097
IDN,Indonesia,2015,0.012887191,1.33E-05,0.096237791
IDN,Indonesia,2016,0.017006147,2.11E-05,0.147890325
IDN,Indonesia,2017,0.021548846,2.82E-05,0.19584239
IDN,Indonesia,2018,0.030893682,5.02E-05,0.240570876
IDN,Indonesia,2019,0.036916505,7.32E-05,0.292413675
IND,India,1990,0.047997171,5.32E-05,0.32131934
IND,India,1991,0.058794504,8.52E-05,0.368796061
IND,India,1992,0.08341746,0.000207194,0.455300558
IND,India,1993,0.084325635,0.000340952,0.464494063
IND,India,1994,0.120065432,0.0006774,0.562076078
IND,India,1995,0.21618604,0.003217996,0.746612908
IND,India,1996,0.305462246,0.009964267,0.865530641
IND,India,1997,0.586004506,0.076111225,0.977788808
IND,India,1998,0.546343147,0.061948145,0.969559763
IND,India,1999,0.645561671,0.104328686,0.984606298
IND,India,2000,0.712969428,0.180056406,0.99237237
IND,India,2001,0.833563397,0.359191422,0.997486442
IND,India,2002,0.801723815,0.298878322,0.996680335
IND,India,2003,0.81986525,0.316933104,0.996998639
IND,India,2004,0.842619052,0.353835646,0.997770894
IND,India,2005,0.857050929,0.405997303,0.997834552
IND,India,2006,0.841646942,0.342337792,0.997414011
IND,India,2007,0.812900145,0.289950008,0.994122726
IND,India,2008,0.870538323,0.413296201,0.998422977
IND,India,2009,0.896156704,0.488774919,0.998956465
IND,India,2010,0.895980515,0.493794419,0.998761856
IND,India,2011,0.904703261,0.52080005,0.999082375
IND,India,2012,0.917626861,0.560572158,0.999408842
IND,India,2013,0.925623072,0.597674213,0.999392588
IND,India,2014,0.922684207,0.570777741,0.999453278
IND,India,2015,0.925902297,0.579791585,0.999528445
IND,India,2016,0.92604606,0.575549455,0.999464455
IND,India,2017,0.926158572,0.594627588,0.999454429
IND,India,2018,0.938267089,0.623581705,0.999764945
IND,India,2019,0.941426964,0.656529615,0.99978404
KHM,Cambodia,1990,0.041563882,4.16E-05,0.305465694
KHM,Cambodia,1991,0.042204556,3.95E-05,0.319026139
KHM,Cambodia,1992,0.042572292,4.74E-05,0.333683463
KHM,Cambodia,1993,0.04587265,7.50E-05,0.3364589
KHM,Cambodia,1994,0.046546782,9.76E-05,0.322513123
KHM,Cambodia,1995,0.05360317,0.000182336,0.378180462
KHM,Cambodia,1996,0.065778037,0.000292767,0.414843555
KHM,Cambodia,1997,0.072532502,0.000370834,0.4316694
KHM,Cambodia,1998,0.076947896,0.000386992,0.473595906
KHM,Cambodia,1999,0.077695618,0.000561646,0.457457302
KHM,Cambodia,2000,0.077269595,0.000446205,0.482813405
KHM,Cambodia,2001,0.079751294,0.000462072,0.488958461
KHM,Cambodia,2002,0.08819539,0.000456432,0.518417868
KHM,Cambodia,2003,0.091286633,0.0004905,0.568877026
KHM,Cambodia,2004,0.087499195,0.000457888,0.559531653
KHM,Cambodia,2005,0.083913201,0.000372953,0.491718396
KHM,Cambodia,2006,0.071245022,0.000349919,0.42216192
KHM,Cambodia,2007,0.066571507,0.000258502,0.391359568
KHM,Cambodia,2008,0.084923638,0.000419635,0.479522109
KHM,Cambodia,2009,0.098835913,0.00066617,0.586074201
KHM,Cambodia,2010,0.093113518,0.000522258,0.517955172
KHM,Cambodia,2011,0.100343424,0.000596911,0.605589875
KHM,Cambodia,2012,0.108067613,0.000675166,0.602505771
KHM,Cambodia,2013,0.113885917,0.000666824,0.605686377
KHM,Cambodia,2014,0.118852258,0.000758732,0.635238679
KHM,Cambodia,2015,0.120978705,0.000710666,0.638352014
KHM,Cambodia,2016,0.121572201,0.000708746,0.625093127
KHM,Cambodia,2017,0.132339065,0.000783848,0.673943234
KHM,Cambodia,2018,0.209459182,0.001695766,0.831249403
KHM,Cambodia,2019,0.261599572,0.004110238,0.910106062
LAO,Laos,1990,0.038800427,4.74E-05,0.247217013
LAO,Laos,1991,0.039393776,5.86E-05,0.252451513
LAO,Laos,1992,0.039126096,7.40E-05,0.245795841
LAO,Laos,1993,0.042950938,0.000113736,0.272315428
LAO,Laos,1994,0.043203516,0.000139118,0.248968487
LAO,Laos,1995,0.050265502,0.000186794,0.293510741
LAO,Laos,1996,0.062814931,0.000390238,0.371942995
LAO,Laos,1997,0.068241458,0.000444077,0.381203662
LAO,Laos,1998,0.073842852,0.000534774,0.459801627
LAO,Laos,1999,0.074391381,0.000522215,0.419584213
LAO,Laos,2000,0.076282089,0.000433588,0.445192499
LAO,Laos,2001,0.081616216,0.000524213,0.462558146
LAO,Laos,2002,0.090895935,0.000589569,0.526220492
LAO,Laos,2003,0.097155993,0.000591204,0.516759451
LAO,Laos,2004,0.094058587,0.00062715,0.510967195
LAO,Laos,2005,0.09249997,0.000690908,0.529295468
LAO,Laos,2006,0.079511964,0.000405139,0.485435291
LAO,Laos,2007,0.079218673,0.000559744,0.44979493
LAO,Laos,2008,0.103921414,0.000721129,0.545763596
LAO,Laos,2009,0.128509877,0.00120211,0.639725715
LAO,Laos,2010,0.145986886,0.001170838,0.66532451
LAO,Laos,2011,0.177688764,0.001876061,0.747890701
LAO,Laos,2012,0.256447562,0.004660532,0.859695043
LAO,Laos,2013,0.331796704,0.0093988,0.905919734
LAO,Laos,2014,0.397894631,0.01412096,0.934300205
LAO,Laos,2015,0.492821037,0.033617869,0.970290267
LAO,Laos,2016,0.54948561,0.050876145,0.976380373
LAO,Laos,2017,0.568865687,0.06214732,0.984529321
LAO,Laos,2018,0.678069918,0.102525461,0.995201318
