location,year,AWARE,"DDD/1,000/day",proportion
Malaysia,2005,Access,3.854,0.687
Malaysia,2005,Watch,1.752,0.312
Malaysia,2005,Reserve,0,0
Malaysia,2005,Other,0.004,0.001
Malaysia,2006,Access,3.637,0.666
Malaysia,2006,Watch,1.82,0.333
Malaysia,2006,Reserve,0,0
Malaysia,2006,Other,0.005,0.001
Malaysia,2007,Access,5.099,0.696
Malaysia,2007,Watch,2.217,0.303
Malaysia,2007,Reserve,0,0
Malaysia,2007,Other,0.006,0.001
Malaysia,2008,Access,6.653,0.702
Malaysia,2008,Watch,2.805,0.296
Malaysia,2008,Reserve,0.001,0
Malaysia,2008,Other,0.012,0.001
Malaysia,2009,Access,5.831,0.665
Malaysia,2009,Watch,2.92,0.333
Malaysia,2009,Reserve,0.001,0
Malaysia,2009,Other,0.011,0.001
Malaysia,2010,Access,5.724,0.629
Malaysia,2010,Watch,3.366,0.37
Malaysia,2010,Reserve,0.001,0
Malaysia,2010,Other,0.012,0.001
Malaysia,2011,Access,5.46,0.596
Malaysia,2011,Watch,3.688,0.402
Malaysia,2011,Reserve,0.001,0
Malaysia,2011,Other,0.013,0.001
Malaysia,2012,Access,6.184,0.603
Malaysia,2012,Watch,4.051,0.395
Malaysia,2012,Reserve,0.001,0
Malaysia,2012,Other,0.013,0.001
Malaysia,2013,Access,6.279,0.612
Malaysia,2013,Watch,3.962,0.386
Malaysia,2013,Reserve,0.002,0
Malaysia,2013,Other,0.014,0.001
Malaysia,2014,Access,6.653,0.651
Malaysia,2014,Watch,3.561,0.348
Malaysia,2014,Reserve,0.002,0
Malaysia,2014,Other,0.01,0.001
Malaysia,2015,Access,6.35,0.595
Malaysia,2015,Watch,4.315,0.404
Malaysia,2015,Reserve,0.002,0
Malaysia,2015,Other,0.008,0.001
Malaysia,2016,Access,5.898,0.618
Malaysia,2016,Watch,3.626,0.38
Malaysia,2016,Reserve,0.002,0
Malaysia,2016,Other,0.011,0.001
Malaysia,2017,Access,6.289,0.62
Malaysia,2017,Watch,3.842,0.379
Malaysia,2017,Reserve,0.003,0
Malaysia,2017,Other,0.011,0.001
Malaysia,2018,Access,6.059,0.645
Malaysia,2018,Watch,3.325,0.354
Malaysia,2018,Reserve,0.003,0
Malaysia,2018,Other,0.01,0.001
Philippines,2000,Access,2.499,0.711
Philippines,2000,Watch,1.016,0.289
Philippines,2000,Reserve,0,0
Philippines,2000,Other,0,0
Philippines,2001,Access,2.329,0.69
Philippines,2001,Watch,1.047,0.31
Philippines,2001,Reserve,0,0
Philippines,2001,Other,0,0
Philippines,2002,Access,2.365,0.677
Philippines,2002,Watch,1.129,0.323
Philippines,2002,Reserve,0,0
Philippines,2002,Other,0.001,0
Philippines,2003,Access,2.069,0.639
Philippines,2003,Watch,1.167,0.361
Philippines,2003,Reserve,0,0
Philippines,2003,Other,0,0
Philippines,2004,Access,2.164,0.642
Philippines,2004,Watch,1.206,0.358
Philippines,2004,Reserve,0,0
Philippines,2004,Other,0,0
Philippines,2005,Access,2.24,0.635
Philippines,2005,Watch,1.284,0.364
Philippines,2005,Reserve,0,0
Philippines,2005,Other,0.001,0
Philippines,2006,Access,2.16,0.629
Philippines,2006,Watch,1.271,0.37
Philippines,2006,Reserve,0,0
Philippines,2006,Other,0.001,0
Philippines,2007,Access,2.294,0.625
Philippines,2007,Watch,1.378,0.375
Philippines,2007,Reserve,0,0
Philippines,2007,Other,0.001,0
Philippines,2008,Access,2.436,0.622
Philippines,2008,Watch,1.48,0.378
Philippines,2008,Reserve,0,0
Philippines,2008,Other,0.001,0
Philippines,2009,Access,2.238,0.59
Philippines,2009,Watch,1.556,0.41
Philippines,2009,Reserve,0.001,0
Philippines,2009,Other,0.002,0
Philippines,2010,Access,2.505,0.582
Philippines,2010,Watch,1.797,0.418
Philippines,2010,Reserve,0.001,0
Philippines,2010,Other,0.001,0
Philippines,2011,Access,2.745,0.586
Philippines,2011,Watch,1.941,0.414
Philippines,2011,Reserve,0,0
Philippines,2011,Other,0,0
Philippines,2012,Access,2.636,0.572
Philippines,2012,Watch,1.968,0.427
Philippines,2012,Reserve,0.001,0
Philippines,2012,Other,0,0
Philippines,2013,Access,2.739,0.586
Philippines,2013,Watch,1.935,0.414
Philippines,2013,Reserve,0.001,0
Philippines,2013,Other,0,0
Philippines,2014,Access,2.067,0.462
Philippines,2014,Watch,2.409,0.538
Philippines,2014,Reserve,0.001,0
Philippines,2014,Other,0,0
Philippines,2015,Access,2.519,0.473
Philippines,2015,Watch,2.807,0.527
Philippines,2015,Reserve,0.001,0
Philippines,2015,Other,0,0
Philippines,2016,Access,2.337,0.452
Philippines,2016,Watch,2.836,0.548
Philippines,2016,Reserve,0.001,0
Philippines,2016,Other,0,0
Philippines,2017,Access,2.003,0.436
Philippines,2017,Watch,2.593,0.564
Philippines,2017,Reserve,0.001,0
Philippines,2017,Other,0,0
Philippines,2018,Access,1.948,0.409
Philippines,2018,Watch,2.809,0.59
Philippines,2018,Reserve,0.001,0
Philippines,2018,Other,0,0
Sri Lanka,2008,Access,9.216,0.674
Sri Lanka,2008,Other,0,0
Sri Lanka,2008,Watch,4.452,0.325
Sri Lanka,2008,Reserve,0.01,0.001
Sri Lanka,2009,Access,9.432,0.59
Sri Lanka,2009,Other,0.009,0.001
Sri Lanka,2009,Watch,6.534,0.409
Sri Lanka,2009,Reserve,0.011,0.001
Sri Lanka,2010,Access,10.546,0.58
Sri Lanka,2010,Other,0.015,0.001
Sri Lanka,2010,Watch,7.632,0.419
Sri Lanka,2010,Reserve,0.005,0
Sri Lanka,2011,Access,10.224,0.597
Sri Lanka,2011,Other,0.022,0.001
Sri Lanka,2011,Watch,6.862,0.401
Sri Lanka,2011,Reserve,0.015,0.001
Sri Lanka,2012,Access,10.576,0.553
Sri Lanka,2012,Other,0.009,0
Sri Lanka,2012,Watch,8.536,0.446
Sri Lanka,2012,Reserve,0.013,0.001
Sri Lanka,2013,Access,9.031,0.549
Sri Lanka,2013,Other,0.007,0
Sri Lanka,2013,Watch,7.39,0.449
Sri Lanka,2013,Reserve,0.013,0.001
Sri Lanka,2014,Access,11.101,0.652
Sri Lanka,2014,Watch,5.904,0.347
Sri Lanka,2014,Other,0.013,0.001
Sri Lanka,2014,Reserve,0.013,0.001
Sri Lanka,2015,Access,10.28,0.607
Sri Lanka,2015,Watch,6.575,0.388
Sri Lanka,2015,Other,0.037,0.002
Sri Lanka,2015,Reserve,0.04,0.002
Sri Lanka,2016,Access,8.768,0.6
Sri Lanka,2016,Watch,5.795,0.396
Sri Lanka,2016,Other,0.034,0.002
Sri Lanka,2016,Reserve,0.026,0.002
Sri Lanka,2017,Access,9.138,0.598
Sri Lanka,2017,Watch,6.128,0.401
Sri Lanka,2017,Other,0.007,0
Sri Lanka,2017,Reserve,0.019,0.001
Sri Lanka,2018,Access,8.024,0.586
Sri Lanka,2018,Watch,5.651,0.413
Sri Lanka,2018,Other,0.002,0
Sri Lanka,2018,Reserve,0.019,0.001
Thailand,2000,Access,7.691,0.825
Thailand,2000,Watch,1.615,0.173
Thailand,2000,Reserve,0,0
Thailand,2000,Other,0.013,0.001
Thailand,2001,Access,8.233,0.814
Thailand,2001,Watch,1.872,0.185
Thailand,2001,Reserve,0,0
Thailand,2001,Other,0.007,0.001
Thailand,2002,Access,8.443,0.797
Thailand,2002,Watch,2.143,0.202
Thailand,2002,Reserve,0,0
Thailand,2002,Other,0.005,0
Thailand,2003,Access,8.661,0.776
Thailand,2003,Watch,2.489,0.223
Thailand,2003,Reserve,0,0
Thailand,2003,Other,0.011,0.001
Thailand,2004,Access,8.954,0.759
Thailand,2004,Watch,2.839,0.241
Thailand,2004,Reserve,0,0
Thailand,2004,Other,0.008,0.001
Thailand,2005,Access,9.427,0.74
Thailand,2005,Watch,3.302,0.259
Thailand,2005,Reserve,0,0
Thailand,2005,Other,0.009,0.001
Thailand,2006,Access,10.007,0.738
Thailand,2006,Watch,3.544,0.261
Thailand,2006,Reserve,0,0
Thailand,2006,Other,0.016,0.001
Thailand,2007,Access,10.678,0.731
Thailand,2007,Watch,3.906,0.267
Thailand,2007,Reserve,0.001,0
Thailand,2007,Other,0.017,0.001
Thailand,2008,Access,10.77,0.718
Thailand,2008,Watch,4.208,0.281
Thailand,2008,Reserve,0.003,0
Thailand,2008,Other,0.016,0.001
Thailand,2009,Access,10.773,0.719
Thailand,2009,Watch,4.193,0.28
Thailand,2009,Reserve,0.005,0
Thailand,2009,Other,0.016,0.001
Thailand,2010,Access,10.4,0.703
Thailand,2010,Watch,4.372,0.295
Thailand,2010,Reserve,0.007,0
Thailand,2010,Other,0.016,0.001
Thailand,2011,Access,10.01,0.691
Thailand,2011,Watch,4.459,0.308
Thailand,2011,Reserve,0.008,0.001
Thailand,2011,Other,0.016,0.001
Thailand,2012,Access,9.848,0.688
Thailand,2012,Watch,4.446,0.311
Thailand,2012,Reserve,0.009,0.001
Thailand,2012,Other,0.015,0.001
Thailand,2013,Access,9.727,0.682
Thailand,2013,Watch,4.509,0.316
Thailand,2013,Reserve,0.009,0.001
Thailand,2013,Other,0.015,0.001
Thailand,2014,Access,11.707,0.753
Thailand,2014,Watch,3.819,0.246
Thailand,2014,Reserve,0.003,0
Thailand,2014,Other,0.019,0.001
Thailand,2015,Access,10.448,0.745
Thailand,2015,Watch,3.558,0.254
Thailand,2015,Reserve,0.003,0
Thailand,2015,Other,0.019,0.001
Thailand,2016,Access,9.748,0.731
Thailand,2016,Watch,3.569,0.268
Thailand,2016,Reserve,0.003,0
Thailand,2016,Other,0.015,0.001
Thailand,2017,Access,8.721,0.727
Thailand,2017,Watch,3.257,0.272
Thailand,2017,Reserve,0.002,0
Thailand,2017,Other,0.016,0.001
Thailand,2018,Access,8.582,0.729
Thailand,2018,Watch,3.172,0.27
Thailand,2018,Reserve,0.002,0
Thailand,2018,Other,0.012,0.001
Vietnam,2008,Access,4.7,0.558
Vietnam,2008,Watch,3.689,0.438
Vietnam,2008,Other,0.03,0.004
Vietnam,2008,Reserve,0,0
Vietnam,2009,Access,4.68,0.531
Vietnam,2009,Watch,4.092,0.464
Vietnam,2009,Other,0.039,0.004
Vietnam,2009,Reserve,0,0
Vietnam,2010,Access,7.724,0.55
Vietnam,2010,Watch,6.258,0.445
Vietnam,2010,Other,0.074,0.005
Vietnam,2010,Reserve,0,0
Vietnam,2011,Access,8.487,0.534
Vietnam,2011,Watch,7.32,0.46
Vietnam,2011,Other,0.093,0.006
Vietnam,2011,Reserve,0,0
Vietnam,2012,Access,8.49,0.518
Vietnam,2012,Watch,7.823,0.477
Vietnam,2012,Other,0.09,0.006
Vietnam,2012,Reserve,0.001,0
Vietnam,2013,Access,8.425,0.484
Vietnam,2013,Watch,8.884,0.51
Vietnam,2013,Other,0.092,0.005
Vietnam,2013,Reserve,0.003,0
Vietnam,2014,Access,11.029,0.493
Vietnam,2014,Watch,11.276,0.504
Vietnam,2014,Reserve,0.002,0
Vietnam,2014,Other,0.057,0.003
Vietnam,2015,Access,13.876,0.51
Vietnam,2015,Watch,13.254,0.487
Vietnam,2015,Reserve,0.003,0
Vietnam,2015,Other,0.094,0.003
Vietnam,2016,Access,13.913,0.503
Vietnam,2016,Watch,13.589,0.491
Vietnam,2016,Reserve,0.007,0
Vietnam,2016,Other,0.141,0.005
Vietnam,2017,Access,14.232,0.505
Vietnam,2017,Watch,13.805,0.489
Vietnam,2017,Reserve,0.008,0
Vietnam,2017,Other,0.165,0.006
Vietnam,2018,Access,15.597,0.535
Vietnam,2018,Watch,13.373,0.459
Vietnam,2018,Reserve,0.011,0
Vietnam,2018,Other,0.17,0.006
Kazakhstan,2008,Access,8.041,0.505
Kazakhstan,2008,Other,0.141,0.009
Kazakhstan,2008,Watch,7.747,0.486
Kazakhstan,2009,Access,6.373,0.432
Kazakhstan,2009,Other,0.161,0.011
Kazakhstan,2009,Watch,8.224,0.557
Kazakhstan,2010,Access,7.505,0.423
Kazakhstan,2010,Other,0.176,0.01
Kazakhstan,2010,Watch,10.05,0.567
Kazakhstan,2011,Access,7.948,0.422
Kazakhstan,2011,Other,0.216,0.011
Kazakhstan,2011,Watch,10.671,0.567
Kazakhstan,2012,Access,9.126,0.437
Kazakhstan,2012,Other,0.297,0.014
Kazakhstan,2012,Watch,11.453,0.549
Kazakhstan,2013,Access,9.274,0.442
Kazakhstan,2013,Other,0.267,0.013
Kazakhstan,2013,Watch,11.43,0.545
Kazakhstan,2014,Access,9.491,0.551
Kazakhstan,2014,Watch,7.492,0.435
