"loc_id","year_id","age_group_id","sex_id","gpr_mean","gpr_lower","gpr_upper"
11,2008,22,3,0.39289444351278,0.207514741318822,0.63487011845774
11,2012,22,3,0.442460346013614,0.247690457112329,0.646021259056598
11,2014,22,3,0.453266145799622,0.270505012999271,0.642154530469849
11,2015,22,3,0.443626446309272,0.241886182443563,0.673332559570825
11,2016,22,3,0.431112187103258,0.195255645871295,0.613468645407998
11,2017,22,3,0.432792035492302,0.201723128256243,0.600758347244161
11,2018,22,3,0.420784233421986,0.221506159614502,0.638227863076275
11,2003,22,3,0.435430902900411,0.240602503942873,0.629487502827799
11,2004,22,3,0.440862307843404,0.247327165794508,0.63494282031363
11,2006,22,3,0.459834655449559,0.262493004341912,0.67821700255918
11,2002,22,3,0.443229145617217,0.236799676801167,0.622725202862265
11,2005,22,3,0.462965535944348,0.254257230620041,0.645800517451762
